PPM , 0.907 , 0.467 , 0.235 , 3.355 , 12.111 , 2.738 , 09-02-2021 17:33:45
PPM , 0.907 , 0.478 , 0.246 , 3.306 , 11.977 , 2.690 , 09-02-2021 17:33:55
PPM , 0.906 , 0.486 , 0.254 , 3.344 , 11.948 , 2.727 , 09-02-2021 17:34:05
PPM , 0.905 , 0.498 , 0.265 , 3.381 , 12.087 , 2.764 , 09-02-2021 17:34:14
PPM , 0.905 , 0.504 , 0.272 , 3.344 , 11.973 , 2.727 , 09-02-2021 17:34:23
PPM , 0.904 , 0.512 , 0.280 , 3.295 , 11.792 , 2.680 , 09-02-2021 17:34:33
PPM , 0.903 , 0.516 , 0.285 , 3.344 , 11.908 , 2.727 , 09-02-2021 17:34:42
PPM , 0.902 , 0.525 , 0.294 , 3.344 , 11.941 , 2.727 , 09-02-2021 17:34:52
PPM , 0.901 , 0.525 , 0.294 , 3.270 , 11.832 , 2.654 , 09-02-2021 17:35:01
PPM , 0.901 , 0.539 , 0.309 , 3.355 , 11.945 , 2.738 , 09-02-2021 17:35:10
PPM , 0.901 , 0.546 , 0.317 , 3.347 , 11.989 , 2.731 , 09-02-2021 17:35:20
PPM , 0.901 , 0.554 , 0.325 , 3.344 , 11.945 , 2.727 , 09-02-2021 17:35:29
PPM , 0.899 , 0.556 , 0.328 , 3.259 , 11.772 , 2.644 , 09-02-2021 17:35:39
PPM , 0.899 , 0.564 , 0.337 , 3.299 , 11.796 , 2.683 , 09-02-2021 17:35:48
PPM , 0.898 , 0.571 , 0.345 , 3.266 , 11.640 , 2.651 , 09-02-2021 17:35:58
PPM , 0.897 , 0.574 , 0.349 , 3.262 , 11.728 , 2.647 , 09-02-2021 17:36:08
PPM , 0.896 , 0.574 , 0.349 , 3.218 , 11.629 , 2.604 , 09-02-2021 17:36:17
PPM , 0.895 , 0.579 , 0.355 , 3.222 , 11.593 , 2.608 , 09-02-2021 17:36:30
PPM , 0.897 , 0.592 , 0.370 , 3.307 , 11.776 , 2.690 , 09-02-2021 17:36:40
PPM , 0.896 , 0.592 , 0.370 , 3.259 , 11.724 , 2.644 , 09-02-2021 17:36:49
PPM , 0.895 , 0.599 , 0.378 , 3.266 , 11.716 , 2.651 , 09-02-2021 17:36:59
PPM , 0.897 , 0.610 , 0.391 , 3.281 , 11.812 , 2.665 , 09-02-2021 17:37:08
PPM , 0.897 , 0.618 , 0.401 , 3.325 , 11.788 , 2.709 , 09-02-2021 17:37:17
PPM , 0.895 , 0.623 , 0.407 , 3.310 , 11.832 , 2.694 , 09-02-2021 17:37:27
PPM , 0.895 , 0.629 , 0.414 , 3.307 , 11.816 , 2.690 , 09-02-2021 17:37:36
PPM , 0.896 , 0.632 , 0.418 , 3.277 , 11.708 , 2.661 , 09-02-2021 17:37:46
PPM , 0.895 , 0.637 , 0.424 , 3.281 , 11.744 , 2.665 , 09-02-2021 17:37:55
PPM , 0.894 , 0.645 , 0.434 , 3.307 , 11.752 , 2.690 , 09-02-2021 17:38:05
PPM , 0.894 , 0.648 , 0.439 , 3.303 , 11.752 , 2.687 , 09-02-2021 17:38:14
PPM , 0.894 , 0.652 , 0.444 , 3.229 , 11.561 , 2.615 , 09-02-2021 17:38:24
PPM , 0.894 , 0.660 , 0.453 , 3.307 , 11.752 , 2.690 , 09-02-2021 17:38:33
PPM , 0.894 , 0.666 , 0.462 , 3.307 , 11.736 , 2.690 , 09-02-2021 17:38:43
PPM , 0.892 , 0.664 , 0.460 , 3.270 , 11.656 , 2.654 , 09-02-2021 17:38:52
PPM , 0.893 , 0.668 , 0.464 , 3.229 , 11.522 , 2.615 , 09-02-2021 17:39:02
PPM , 0.893 , 0.675 , 0.474 , 3.307 , 11.724 , 2.690 , 09-02-2021 17:39:11
PPM , 0.892 , 0.675 , 0.474 , 3.273 , 11.672 , 2.658 , 09-02-2021 17:39:20
PPM , 0.892 , 0.677 , 0.477 , 3.270 , 11.644 , 2.654 , 09-02-2021 17:39:30
PPM , 0.892 , 0.687 , 0.490 , 3.266 , 11.573 , 2.651 , 09-02-2021 17:39:39
PPM , 0.892 , 0.691 , 0.495 , 3.270 , 11.593 , 2.654 , 09-02-2021 17:39:49
PPM , 0.891 , 0.687 , 0.490 , 3.233 , 11.487 , 2.619 , 09-02-2021 17:39:58
PPM , 0.891 , 0.687 , 0.490 , 3.197 , 11.455 , 2.583 , 09-02-2021 17:40:08
PPM , 0.891 , 0.695 , 0.500 , 3.259 , 11.479 , 2.644 , 09-02-2021 17:40:18
PPM , 0.891 , 0.697 , 0.504 , 3.262 , 11.593 , 2.647 , 09-02-2021 17:40:27
PPM , 0.891 , 0.699 , 0.506 , 3.270 , 11.613 , 2.654 , 09-02-2021 17:40:36
PPM , 0.891 , 0.699 , 0.506 , 3.233 , 11.609 , 2.619 , 09-02-2021 17:40:46
PPM , 0.891 , 0.706 , 0.516 , 3.266 , 11.617 , 2.651 , 09-02-2021 17:40:55
PPM , 0.891 , 0.711 , 0.522 , 3.303 , 11.668 , 2.687 , 09-02-2021 17:41:05
PPM , 0.892 , 0.717 , 0.532 , 3.329 , 11.744 , 2.712 , 09-02-2021 17:41:14
PPM , 0.892 , 0.712 , 0.524 , 3.226 , 11.549 , 2.611 , 09-02-2021 17:41:24
PPM , 0.891 , 0.723 , 0.539 , 3.303 , 11.664 , 2.687 , 09-02-2021 17:41:33
PPM , 0.891 , 0.725 , 0.542 , 3.288 , 11.633 , 2.672 , 09-02-2021 17:41:43
PPM , 0.890 , 0.726 , 0.545 , 3.270 , 11.557 , 2.654 , 09-02-2021 17:41:52
PPM , 0.890 , 0.724 , 0.541 , 3.189 , 11.365 , 2.576 , 09-02-2021 17:42:01
PPM , 0.891 , 0.735 , 0.557 , 3.307 , 11.652 , 2.690 , 09-02-2021 17:42:11
PPM , 0.890 , 0.733 , 0.555 , 3.292 , 11.637 , 2.676 , 09-02-2021 17:42:21
PPM , 0.888 , 0.722 , 0.539 , 3.146 , 11.280 , 2.534 , 09-02-2021 17:42:30
PPM , 0.888 , 0.726 , 0.545 , 3.150 , 11.264 , 2.537 , 09-02-2021 17:42:39
PPM , 0.888 , 0.727 , 0.545 , 3.186 , 11.365 , 2.572 , 09-02-2021 17:42:48
PPM , 0.888 , 0.725 , 0.542 , 3.186 , 11.342 , 2.572 , 09-02-2021 17:42:58
PPM , 0.889 , 0.725 , 0.544 , 3.179 , 11.365 , 2.565 , 09-02-2021 17:43:07
PPM , 0.888 , 0.723 , 0.539 , 3.189 , 11.373 , 2.576 , 09-02-2021 17:43:16
PPM , 0.890 , 0.731 , 0.552 , 3.270 , 11.546 , 2.654 , 09-02-2021 17:43:26
PPM , 0.889 , 0.723 , 0.540 , 3.200 , 11.463 , 2.587 , 09-02-2021 17:43:35
PPM , 0.889 , 0.725 , 0.544 , 3.204 , 11.451 , 2.590 , 09-02-2021 17:43:44
PPM , 0.890 , 0.731 , 0.551 , 3.211 , 11.475 , 2.597 , 09-02-2021 17:43:53
PPM , 0.889 , 0.730 , 0.549 , 3.193 , 11.479 , 2.579 , 09-02-2021 17:44:03
